id,name,color
"__setup__.account_account_tag_pl_1","eBee","1"
"__setup__.account_account_tag_pl_2","eBee RTK","1"
"__setup__.account_account_tag_pl_3","swinglet","1"
"__setup__.account_account_tag_pl_4","albris","1"
"__setup__.account_account_tag_pl_5","Spare Parts","1"
"__setup__.account_account_tag_pl_6","Shipping","1"
"__setup__.account_account_tag_pl_7","SAV","1"
"__setup__.account_account_tag_pl_8","Prestation Diverses","1"
"__setup__.account_account_tag_pl_9","Mandats","1"
"__setup__.account_account_tag_pl_10","senseFly Academy","1"
"__setup__.account_account_tag_pl_11","Licences","1"
"__setup__.account_account_tag_pl_12","Salaires et Charges Soc.","1"
"__setup__.account_account_tag_pl_13","Autres charges Personnels","1"
"__setup__.account_account_tag_pl_14","Charges de Consulting","1"
"__setup__.account_account_tag_pl_15","Charges Techniques","1"
"__setup__.account_account_tag_pl_16","Charges de marketing","1"
"__setup__.account_account_tag_pl_17","Amortissements","1"
"__setup__.account_account_tag_pl_18","Subventions","1"
"__setup__.account_account_tag_pl_19","Autres charges d'exploitation","1"
"__setup__.account_account_tag_pl_20","Charges de loyer et infrastructures","1"
"__setup__.account_account_tag_pl_21","eBee Ag","1"
