id,active,include_base_amount,amount,children_tax_ids/id,company_id/id,analytic,price_include,description,sequence,tag_ids/id,account_id/id,refund_account_id/id,amount_type,tax_group_id/id,name,type_tax_use,tax_adjustment
__setup__.1_vat_77,True,False,7.7,,base.main_company,False,False,7.7%,0,"__setup__.vat_tag_302,__setup__.vat_tag_302b",l10n_ch.1_ch_coa_2200,l10n_ch.1_ch_coa_2200,Percentage of Price,account.tax_group_taxes,TVA due a 7.7% (TN),Sales,False
__setup__.1_vat_77_incl,True,False,7.7,,base.main_company,False,True,7.7% Incl.,0,"__setup__.vat_tag_302,__setup__.vat_tag_302b",l10n_ch.1_ch_coa_2200,l10n_ch.1_ch_coa_2200,Percentage of Price,account.tax_group_taxes,TVA due aÂ  7.7% (Incl. TN),Sales,False
__setup__.1_vat_37,True,False,3.7,,base.main_company,False,False,3.7%,0,"__setup__.vat_tag_342,__setup__.vat_tag_342b",l10n_ch.1_ch_coa_2200,l10n_ch.1_ch_coa_2200,Percentage of Price,account.tax_group_taxes,TVA due a 3.7% (TN),Sales,False
__setup__.1_vat_37_incl,True,False,3.7,,base.main_company,False,True,3.7% Incl.,0,"__setup__.vat_tag_342,__setup__.vat_tag_342b",l10n_ch.1_ch_coa_2200,l10n_ch.1_ch_coa_2200,Percentage of Price,account.tax_group_taxes,TVA due aÂ  3.7% (Incl. TN),Sales,False
__setup__.1_vat_77_purchase,True,False,7.7,,base.main_company,False,False,7.7% achat,0,l10n_ch.vat_tag_400,l10n_ch.1_ch_coa_1170,l10n_ch.1_ch_coa_1170,Percentage of Price,account.tax_group_taxes,TVA 7.7% sur achat B&S (TN),Purchases,False
__setup__.1_vat_77_purchase_incl,True,False,7.7,,base.main_company,False,True,7.7% achat Incl.,0,l10n_ch.vat_tag_400,l10n_ch.1_ch_coa_1170,l10n_ch.1_ch_coa_1170,Percentage of Price,account.tax_group_taxes,TVA 7.7% sur achat B&S (Incl. TN),Purchases,False
__setup__.1_vat_37_invest,True,False,3.7,,base.main_company,False,False,3.7% invest,1,l10n_ch.vat_tag_405,l10n_ch.1_ch_coa_1171,l10n_ch.1_ch_coa_1171,Percentage of Price,account.tax_group_taxes,TVA 3.7% sur invest. et autres ch. (TS),Purchases,False
__setup__.1_vat_37_invest_incl,True,False,3.7,,base.main_company,False,True,3.7% invest Incl.,1,l10n_ch.vat_tag_405,l10n_ch.1_ch_coa_1171,l10n_ch.1_ch_coa_1171,Percentage of Price,account.tax_group_taxes,TVA 3.7% sur invest. et autres ch. (Incl. TS),Purchases,False
__setup__.1_vat_77_invest,True,False,7.7,,base.main_company,False,False,7.7% invest.,1,l10n_ch.vat_tag_405,l10n_ch.1_ch_coa_1171,l10n_ch.1_ch_coa_1171,Percentage of Price,account.tax_group_taxes,TVA 7.7% sur invest. et autres ch. (TN),Purchases,False
__setup__.1_vat_77_invest_incl,True,False,7.7,,base.main_company,False,True,7.7% invest. Incl.,1,l10n_ch.vat_tag_405,l10n_ch.1_ch_coa_1171,l10n_ch.1_ch_coa_1171,Percentage of Price,account.tax_group_taxes,TVA 7.7% sur invest. et autres ch. (Incl. TN),Purchases,False
__setup__.1_vat_37_purchase,True,False,3.7,,base.main_company,False,False,3.7% achat,1,l10n_ch.vat_tag_400,l10n_ch.1_ch_coa_1170,l10n_ch.1_ch_coa_1170,Percentage of Price,account.tax_group_taxes,TVA 3.7% sur achat B&S (TS),Purchases,False
__setup__.1_vat_37_purchase_incl,True,False,3.7,,base.main_company,False,True,3.7% achat Incl.,1,l10n_ch.vat_tag_400,l10n_ch.1_ch_coa_1170,l10n_ch.1_ch_coa_1170,Percentage of Price,account.tax_group_taxes,TVA 3.7% sur achat B&S (Incl. TS),Purchases,False
