"id","payment_id/id","option","sequence","days","value","value_amount"
"__setup__.account_payment_term_line_6","__setup__.account_payment_term_5","day_after_invoice_date","5","14","balance","0.0"
"__setup__.account_payment_term_line_18","__setup__.account_payment_term_11","day_after_invoice_date","5","0","balance","0.0"
"__setup__.account_payment_term_line_42","__setup__.account_payment_term_19","day_after_invoice_date","10","0","percent","20.0"
"__setup__.account_payment_term_line_45","__setup__.account_payment_term_19","day_after_invoice_date","10","30","balance","0.0"
"__setup__.account_payment_term_line_27","__setup__.account_payment_term_20","day_after_invoice_date","10","30","balance","0.0"
"__setup__.account_payment_term_line_38","__setup__.account_payment_term_21","day_after_invoice_date","10","0","percent","50.0"
"__setup__.account_payment_term_line_46","__setup__.account_payment_term_21","day_after_invoice_date","10","30","balance","0.0"
"__setup__.account_payment_term_line_47","__setup__.account_payment_term_23","day_after_invoice_date","10","30","balance","0.0"
"__setup__.account_payment_term_line_41","__setup__.account_payment_term_23","day_after_invoice_date","10","0","percent","70.0"
"__setup__.account_payment_term_line_33","__setup__.account_payment_term_25","day_after_invoice_date","10","60","balance","0.0"
"__setup__.account_payment_term_line_44","__setup__.account_payment_term_30","day_after_invoice_date","10","0","balance","0.0"
